Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Congo (Kinshasa),2022-05-26 10:20:29,-4.0383,21.7587,88036,1338,,,98.29680651276972,,,1.5198327956744968,180,COD,1013,1
Costa Rica,2022-05-26 10:20:29,9.7489,-83.7534,891038,8495,,,17491.520605938542,,,0.9533824595584026,188,CRI,38964,90
Cote d'Ivoire,2022-05-26 10:20:29,7.54,-5.5471,82116,799,,,311.30162984501453,,,0.973013785376784,384,CIV,203,0
Croatia,2022-05-26 10:20:29,45.1,15.2,1135128,15973,,,27650.521232718547,,,1.40715408306376,191,HRV,15212,165
Cuba,2022-05-26 10:20:29,21.521757,-77.781167,1105091,8529,,,9756.585726928502,,,0.7717916443080253,192,CUB,2736,4
Cyprus,2022-05-26 10:20:29,35.1264,33.4299,488189,1057,,,40434.385407512746,,,0.2165145056525239,196,CYP,17708,46
Czechia,2022-05-26 10:20:29,49.8175,15.473,3919098,40280,,,36596.36368797706,,,1.0277875164132155,203,CZE,17003,157
Denmark,2022-05-26 10:20:29,56.2639,9.5018,3180709,6388,,,54490.19934684583,,,0.2008357256196653,208,DNK,20387,214
Diamond Princess,2022-05-26 10:20:29,,,712,13,,,,,,1.8258426966292132,9999,,0,0
Djibouti,2022-05-26 10:20:29,11.8251,42.5903,15675,189,,,1586.535249928644,,,1.2057416267942584,262,DJI,64,0
Dominica,2022-05-26 10:20:29,15.415,-61.371,14184,65,,,19702.46280785098,,,0.458262831359278,212,DMA,2151,2
Dominican Republic,2022-05-26 10:20:29,18.7357,-70.1627,581869,4377,,,5363.884119918465,,,0.7522311723085436,214,DOM,2621,1
Ecuador,2022-05-26 10:20:29,-1.8312,-78.1834,874750,35617,,,4958.040158566598,,,4.071677622177765,218,ECU,6465,36
Egypt,2022-05-26 10:20:29,26.820553,30.802498,515645,24704,,,503.8823551841115,,,4.790892959303397,818,EGY,0,91
El Salvador,2022-05-26 10:20:29,13.7942,-88.8965,162089,4131,,,2498.9820697816795,,,2.548599843295967,222,SLV,0,3
Equatorial Guinea,2022-05-26 10:20:29,1.6508,10.2679,15910,183,,,1134.0106986175904,,,1.1502199874292898,226,GNQ,3,0
Eritrea,2022-05-26 10:20:29,15.1794,39.7823,9756,103,,,275.0937774836476,,,1.055760557605576,232,ERI,22,0
Estonia,2022-05-26 10:20:29,58.5953,25.0136,576047,2561,,,43424.80696006676,,,0.4445817789173453,233,EST,4747,28
Eswatini,2022-05-26 10:20:29,-26.5225,31.4659,72300,1406,,,6231.877562137766,,,1.9446749654218531,748,SWZ,1844,9
Ethiopia,2022-05-26 10:20:29,9.145,40.4897,471678,7513,,,410.2847072885681,,,1.592823918011864,231,ETH,1186,3
Fiji,2022-05-26 10:20:29,-17.7134,178.065,64898,862,,,7239.4929298428015,,,1.328238158340781,242,FJI,363,0
Finland,2022-05-26 10:20:29,61.9241,25.7482,1092193,4522,,,19712.120342526006,,,0.4140293885787585,246,FIN,80753,768
France,2022-05-26 10:20:29,46.2276,2.2137,29605758,149095,,,45372.91836855454,,,0.5036013602489083,250,FRA,932347,2479
Gabon,2022-05-26 10:20:29,-0.8037,11.6094,47622,304,,,2139.6145440952355,,,0.6383604216538574,266,GAB,25,1
Gambia,2022-05-26 10:20:29,13.4432,-15.3101,12002,365,,,496.63503076968914,,,3.041159806698884,270,GMB,7,0
Georgia,2022-05-26 10:20:29,42.3154,43.3569,1655221,16811,,,41492.81493040541,,,1.0156347702210158,268,GEO,556,9
Germany,2022-05-26 10:20:29,51.165691,10.451526,26198811,138779,,,31505.9842861462,,,0.5297148790454651,276,DEU,1589652,3701
Ghana,2022-05-26 10:20:29,7.9465,-1.0232,161370,1445,,,519.3263786229468,,,0.8954576439239016,288,GHA,200,0
Greece,2022-05-26 10:20:29,39.0742,21.8243,3431998,29743,,,32926.98417815274,,,0.8666380341713485,300,GRC,129616,721
Grenada,2022-05-26 10:20:29,12.1165,-61.679,17482,225,,,15536.931540450943,,,1.287038096327651,308,GRD,2963,5
Guatemala,2022-05-26 10:20:29,15.7835,-90.2308,858015,18024,,,4789.214876648895,,,2.100662575829094,320,GTM,13956,486
Guinea,2022-05-26 10:20:29,9.9456,-9.6966,36661,442,,,279.1561763865597,,,1.2056408717710918,324,GIN,121,1
Guinea-Bissau,2022-05-26 10:20:29,11.8037,-15.1804,8259,171,,,419.6650606352242,,,2.070468579731202,624,GNB,73,0
Guyana,2022-05-26 10:20:29,4.860416,-58.93018,64435,1232,,,8192.011025237776,,,1.9120043454644216,328,GUY,988,4
Haiti,2022-05-26 10:20:29,18.9712,-72.2852,30781,835,,,269.9487912027968,,,2.7127123875117767,332,HTI,126,0
Holy See,2022-05-26 10:20:29,41.9029,12.4534,29,0,,,3584.672435105068,,,0.0,336,VAT,0,0
Honduras,2022-05-26 10:20:29,15.2,-86.2419,425087,10899,,,4291.810438131423,,,2.5639457334616207,340,HND,1908,6
Hungary,2022-05-26 10:20:29,47.1625,19.5033,1917777,46507,,,19852.04469817346,,,2.4250473334490925,348,HUN,19880,345
Iceland,2022-05-26 10:20:29,64.9631,-19.0208,187664,153,,,54993.11355311355,,,0.0815286895728536,352,ISL,2311,34
India,2022-05-26 10:20:29,20.593684,78.96288,43144820,524525,,,3126.426297551221,,,1.2157311121010588,356,IND,76021,832
Indonesia,2022-05-26 10:20:29,-0.7893,113.9213,6053670,156556,,,2213.216532403247,,,2.586133700713782,360,IDN,7764,354
Iran,2022-05-26 10:20:29,32.427908,53.688046,7230882,141293,,,8608.915083626123,,,1.9540216532367696,364,IRN,11449,252
Iraq,2022-05-26 10:20:29,33.223191,43.679291,2327557,25218,,,5786.703527624823,,,1.083453595336226,368,IRQ,2858,10
Ireland,2022-05-26 10:20:29,53.1424,-7.6921,1561632,7304,,,31626.093909104387,,,0.4677158254953792,372,IRL,46627,250
Israel,2022-05-26 10:20:29,31.046051,34.851612,4130122,10839,,,47716.50899695351,,,0.2624377681821505,376,ISR,60313,138
Italy,2022-05-26 10:20:29,41.8719,12.5674,17312432,166264,,,28633.65626325423,,,0.9603734472429986,380,ITA,1032678,3151
Jamaica,2022-05-26 10:20:29,18.1096,-77.2975,135462,3042,,,4574.624615142507,,,2.24564822607078,388,JAM,5715,88
Japan,2022-05-26 10:20:29,36.204824,138.252924,8700150,30421,,,6878.869109380024,,,0.3496606380349764,392,JPN,932171,952
