Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
San Luis Potosi,Mexico,2022-05-27 14:31:54,22.1565,-100.9855,187137,7487,,,,6529.229884632374,,,4.000812239161684,48424,MEX,,,1022,3
Sinaloa,Mexico,2022-05-27 14:31:54,25.1721,-107.4795,122552,9733,,,,3882.314106556458,,,7.941934852144396,48425,MEX,,,645,20
Sonora,Mexico,2022-05-27 14:31:54,29.2972,-110.3309,165220,10129,,,,5373.453733561645,,,6.130613727151677,48426,MEX,,,-347,10
Tabasco,Mexico,2022-05-27 14:31:54,17.8409,-92.6189,189228,6046,,,,7356.410851510737,,,3.195087407783203,48427,MEX,,,-538,3
Tamaulipas,Mexico,2022-05-27 14:31:54,24.2669,-98.8363,146784,7994,,,,4020.816292764865,,,5.446097667320689,48428,MEX,,,1543,13
Tlaxcala,Mexico,2022-05-27 14:31:54,19.3139,-98.2404,43880,3089,,,,3179.6847996139163,,,7.039653600729261,48429,MEX,,,76,16
Unknown,Mexico,2022-05-27 14:31:54,,,0,0,,,,,,,,48433,MEX,,,0,0
Veracruz,Mexico,2022-05-27 14:31:54,19.1738,-96.1342,179697,16463,,,,2104.2143303955027,,,9.16153302503659,48430,MEX,,,772,63
Yucatan,Mexico,2022-05-27 14:31:54,20.7099,-89.0943,110072,6812,,,,4872.387120877447,,,6.188676502652809,48431,MEX,,,953,4
Zacatecas,Mexico,2022-05-27 14:31:54,22.7709,-102.5832,67681,3858,,,,4061.4464728706826,,,5.700270386075856,48432,MEX,,,18,8
Aruba,Netherlands,2022-05-27 14:31:54,12.5211,-69.9683,36564,213,,,,34246.8576138471,,,0.5825402034788316,533,ABW,,,1871,1
"Bonaire, Sint Eustatius and Saba",Netherlands,2022-05-27 14:31:54,12.1784,-68.2385,10076,35,,,,38427.214827809774,,,0.3473600635172688,535,BES,,,331,1
Curacao,Netherlands,2022-05-27 14:31:54,12.1696,-68.99,43622,277,,,,26582.57160268129,,,0.6350006877263766,531,CUW,,,1587,4
Drenthe,Netherlands,2022-05-27 14:31:54,52.862485,6.618435,202592,451,,,,41036.942809338805,,,0.2226149107565945,52801,NLD,,,784,2
Flevoland,Netherlands,2022-05-27 14:31:54,52.550383,5.515162,183962,332,,,,43487.675552750334,,,0.1804720540111545,52802,NLD,,,1050,1
Friesland,Netherlands,2022-05-27 14:31:54,53.087337,5.7925,277887,617,,,,42754.67454000803,,,0.2220326967436404,52803,NLD,,,883,0
Gelderland,Netherlands,2022-05-27 14:31:54,52.061738,5.939114,985560,2803,,,,47247.491792716224,,,0.2844068346929664,52804,NLD,,,3460,11
Groningen,Netherlands,2022-05-27 14:31:54,53.217922,6.741514,248526,356,,,,42420.28040541694,,,0.1432445699846293,52805,NLD,,,1097,1
Limburg,Netherlands,2022-05-27 14:31:54,51.209227,5.93387,528947,2166,,,,47345.73277324313,,,0.4094928225323142,52806,NLD,,,1314,5
Noord-Brabant,Netherlands,2022-05-27 14:31:54,51.561174,5.184942,1235639,3701,,,,48211.498055954944,,,0.2995211384554874,52807,NLD,,,3075,11
Noord-Holland,Netherlands,2022-05-27 14:31:54,52.600906,4.918688,1325243,3377,,,,46022.940573226086,,,0.2548211912834099,52808,NLD,,,8520,17
Overijssel,Netherlands,2022-05-27 14:31:54,52.444558,6.441722,566062,1416,,,,48697.44306206265,,,0.2501492769343287,52809,NLD,,,1948,4
Sint Maarten,Netherlands,2022-05-27 14:31:54,18.0425,-63.0548,10279,86,,,,23970.430483652814,,,0.8366572623796089,534,SXM,,,243,0
Unknown,Netherlands,2022-05-27 14:31:54,,,84139,21,,,,,,,0.0249586992952138,52813,NLD,,,0,0
Utrecht,Netherlands,2022-05-27 14:31:54,52.084251,5.163824,664536,1539,,,,49049.256218843046,,,0.2315901621582577,52810,NLD,,,3324,4
Zeeland,Netherlands,2022-05-27 14:31:54,51.47936,3.861559,168421,390,,,,43918.19300734312,,,0.2315625723633038,52811,NLD,,,730,2
Zuid-Holland,Netherlands,2022-05-27 14:31:54,51.937835,4.462114,1694542,5166,,,,45691.046125107045,,,0.3048611365194843,52812,NLD,,,8374,17
Cook Islands,New Zealand,2022-05-27 14:31:54,-21.2367,-159.7777,5613,1,,,,32149.60765221376,,,0.0178157847853197,184,COK,,,623,0
Azad Jammu and Kashmir,Pakistan,2022-05-27 14:31:54,34.027401,73.947253,43329,792,,,,1071.0773759407678,,,1.827875095201828,58601,PAK,,,19,0
Balochistan,Pakistan,2022-05-27 14:31:54,28.328492,65.898403,35498,378,,,,287.563405227695,,,1.0648487238717674,58602,PAK,,,14,0
Gilgit-Baltistan,Pakistan,2022-05-27 14:31:54,35.792146,74.982138,11748,191,,,,1159.0553915610349,,,1.6258086482805585,58603,PAK,,,11,0
Islamabad,Pakistan,2022-05-27 14:31:54,33.665087,73.121219,135383,1024,,,,6746.979425607454,,,0.7563726612647083,58604,PAK,,,205,1
Khyber Pakhtunkhwa,Pakistan,2022-05-27 14:31:54,34.485332,72.09169,219662,6324,,,,719.6518366205357,,,2.8789685972084382,58605,PAK,,,202,0
Punjab,Pakistan,2022-05-27 14:31:54,30.811346,72.139132,507092,13564,,,,460.9405907015499,,,2.674859788756281,58606,PAK,,,1074,4
Sindh,Pakistan,2022-05-27 14:31:54,26.009446,68.776807,577433,8106,,,,1205.848024511355,,,1.403799228655099,58607,PAK,,,664,5
Amazonas,Peru,2022-05-27 14:31:54,-5.077253,-78.050172,44221,1340,,,,10361.059044048734,,,3.030234503968703,60401,PER,,,87,1
Ancash,Peru,2022-05-27 14:31:54,-9.407125,-77.671795,128241,7172,,,,10862.358122988311,,,5.592595191865316,60402,PER,,,689,32
Apurimac,Peru,2022-05-27 14:31:54,-14.027713,-72.975378,39087,1633,,,,9075.226375667518,,,4.177859646429759,60403,PER,,,51,1
Arequipa,Peru,2022-05-27 14:31:54,-15.843524,-72.475539,215438,10330,,,,14387.471617470284,,,4.794882982575033,60404,PER,,,1355,28
Ayacucho,Peru,2022-05-27 14:31:54,-14.091648,-74.08344,48233,2330,,,,7218.3478000598625,,,4.830717558518027,60405,PER,,,68,3
Cajamarca,Peru,2022-05-27 14:31:54,-6.430284,-78.745596,96217,4471,,,,6618.765907683841,,,4.646787989648399,60406,PER,,,187,14
Callao,Peru,2022-05-27 14:31:54,-11.954609,-77.136042,146998,10514,,,,13009.823878219311,,,7.152478265010409,60407,PER,,,314,15
Cusco,Peru,2022-05-27 14:31:54,-13.191068,-72.153609,117123,5176,,,,8630.388328052464,,,4.41928570818712,60408,PER,,,186,4
Huancavelica,Peru,2022-05-27 14:31:54,-13.023888,-75.00277,25865,1273,,,,7080.481795784287,,,4.921708872994394,60409,PER,,,55,1
Huanuco,Peru,2022-05-27 14:31:54,-9.421676,-76.040642,52184,2892,,,,6863.606471129817,,,5.541928560478308,60410,PER,,,52,2
Ica,Peru,2022-05-27 14:31:54,-14.235097,-75.574821,103876,8943,,,,10651.763740771125,,,8.60930340020794,60411,PER,,,128,17
Junin,Peru,2022-05-27 14:31:54,-11.541783,-74.876968,126410,7482,,,,9284.612559676829,,,5.918835535163358,60412,PER,,,185,5
La Libertad,Peru,2022-05-27 14:31:54,-7.92139,-78.370238,146923,10862,,,,7284.956366521222,,,7.392988163868148,60413,PER,,,190,-83
Lambayeque,Peru,2022-05-27 14:31:54,-6.353049,-79.824113,105708,9246,,,,8064.38815990235,,,8.7467362924282,60414,PER,,,106,10
Lima,Peru,2022-05-27 14:31:54,-11.766533,-76.604498,1619813,93240,,,,15240.278496495272,,,5.756220008112048,60415,PER,,,7271,164
Loreto,Peru,2022-05-27 14:31:54,-4.124847,-74.424115,57993,4389,,,,5643.538341767225,,,7.568154777300709,60416,PER,,,43,4
Madre de Dios,Peru,2022-05-27 14:31:54,-11.972699,-70.53172,17871,857,,,,10282.508630609896,,,4.795478708522187,60417,PER,,,30,5
Moquegua,Peru,2022-05-27 14:31:54,-16.860271,-70.839046,48841,1630,,,,25345.61494551116,,,3.3373600049139043,60418,PER,,,344,8
Pasco,Peru,2022-05-27 14:31:54,-10.39655,-75.307635,24016,1105,,,,8832.659065833026,,,4.60109926715523,60419,PER,,,62,2
Piura,Peru,2022-05-27 14:31:54,-5.133361,-80.335861,158674,13103,,,,7747.75390625,,,8.257811613748945,60420,PER,,,132,10
Puno,Peru,2022-05-27 14:31:54,-14.995827,-69.922726,66256,4801,,,,5351.857835218094,,,7.246136198985752,60421,PER,,,275,37
San Martin,Peru,2022-05-27 14:31:54,-7.039531,-76.729127,61867,3165,,,,6877.167630057804,,,5.115812953594,60422,PER,,,28,3
Tacna,Peru,2022-05-27 14:31:54,-17.644161,-70.27756,53793,2136,,,,14499.460916442047,,,3.97077686687859,60423,PER,,,49,3
Tumbes,Peru,2022-05-27 14:31:54,-3.857496,-80.545255,27599,1696,,,,10973.75745526839,,,6.145150186600964,60424,PER,,,32,6
Ucayali,Peru,2022-05-27 14:31:54,-9.621718,-73.444929,39585,3258,,,,6719.572228823629,,,8.230390299355816,60425,PER,,,37,10
Unknown,Peru,2022-05-27 14:31:54,,,5075,101,,,,,,,1.9901477832512315,60426,PER,,,2022,45
Adygea Republic,Russia,2022-05-27 14:31:54,44.6939006,40.1520421,49397,1002,,,,10895.371612083569,,,2.02846326700002,64301,RUS,,,254,6
Altai Krai,Russia,2022-05-27 14:31:54,52.6932243,82.6931424,268526,8640,,,,11426.249319172111,,,3.217565524381252,64302,RUS,,,2153,49
Altai Republic,Russia,2022-05-27 14:31:54,50.7114101,86.8572186,34367,618,,,,15760.124367728591,,,1.7982366805365613,64303,RUS,,,259,7
Amur Oblast,Russia,2022-05-27 14:31:54,52.8032368,128.437295,107762,764,,,,13496.838772381592,,,0.7089697667081161,64304,RUS,,,1222,0
Arkhangelsk Oblast,Russia,2022-05-27 14:31:54,63.5589686,43.1221646,230052,1762,,,,19917.43923091042,,,0.7659137934032306,64305,RUS,,,1683,47
Astrakhan Oblast,Russia,2022-05-27 14:31:54,47.1878186,47.608851,116999,3005,,,,11498.515008147308,,,2.5683980204959016,64306,RUS,,,979,15
Bashkortostan Republic,Russia,2022-05-27 14:31:54,54.8573563,57.1439682,288180,5670,,,,7092.27712596655,,,1.967520299812617,64307,RUS,,,2624,54
Belgorod Oblast,Russia,2022-05-27 14:31:54,50.7080119,37.5837615,130746,2263,,,,8435.900678505894,,,1.7308368898474906,64308,RUS,,,1032,39
Bryansk Oblast,Russia,2022-05-27 14:31:54,52.8873315,33.415853,161815,4019,,,,13362.296053946302,,,2.48370052220128,64309,RUS,,,818,50
Buryatia Republic,Russia,2022-05-27 14:31:54,52.7182426,109.492143,136601,3026,,,,13875.01003036025,,,2.215210723201148,64310,RUS,,,723,23
Chechen Republic,Russia,2022-05-27 14:31:54,43.3976147,45.6985005,43702,1076,,,,3041.2371492733723,,,2.462129879639376,64311,RUS,,,298,0
Chelyabinsk Oblast,Russia,2022-05-27 14:31:54,54.4223954,61.1865846,330149,7679,,,,9451.634623863025,,,2.325919509070147,64312,RUS,,,4120,110
Chukotka Autonomous Okrug,Russia,2022-05-27 14:31:54,66.0006475,169.4900869,5690,42,,,,11530.35584015563,,,0.7381370826010545,64313,RUS,,,59,0
Chuvashia Republic,Russia,2022-05-27 14:31:54,55.4259922,47.0849429,79827,4636,,,,6484.111583220766,,,5.8075588460044845,64314,RUS,,,1222,30
Dagestan Republic,Russia,2022-05-27 14:31:54,43.0574916,47.1332224,93216,3593,,,,3042.411839869969,,,3.854488499828356,64315,RUS,,,295,1
Ingushetia Republic,Russia,2022-05-27 14:31:54,43.11542075,45.01713552,40942,550,,,,8389.014902375406,,,1.3433637829124128,64316,RUS,,,242,1
Irkutsk Oblast,Russia,2022-05-27 14:31:54,56.6370122,104.719221,293693,8457,,,,12215.856034972205,,,2.8795374762081494,64317,RUS,,,2195,44
Ivanovo Oblast,Russia,2022-05-27 14:31:54,56.9167446,41.4352137,111439,3117,,,,10983.04236157241,,,2.797045917497465,64318,RUS,,,1161,30
Jewish Autonomous Okrug,Russia,2022-05-27 14:31:54,48.57527615,132.6630746,18775,545,,,,11588.50469712494,,,2.902796271637816,64319,RUS,,,189,4
Kabardino-Balkarian Republic,Russia,2022-05-27 14:31:54,43.4806048,43.5978976,61895,1874,,,,7148.648461357221,,,3.0277082155262947,64320,RUS,,,362,16
Kaliningrad Oblast,Russia,2022-05-27 14:31:54,54.7293041,21.1489473,168744,1913,,,,16966.033547188363,,,1.133669937894088,64321,RUS,,,882,19
Kalmykia Republic,Russia,2022-05-27 14:31:54,46.2313018,45.3275745,51545,843,,,,18715.529041838985,,,1.6354641575322533,64322,RUS,,,453,4
Kaluga Oblast,Russia,2022-05-27 14:31:54,54.4382773,35.5272854,103875,1453,,,,10263.760108136308,,,1.3987966305655837,64323,RUS,,,830,0
Kamchatka Krai,Russia,2022-05-27 14:31:54,57.1914882,160.0383819,39895,615,,,,12642.723818517732,,,1.541546559719263,64324,RUS,,,340,4
Karachay-Cherkess Republic,Russia,2022-05-27 14:31:54,43.7368326,41.7267991,46022,984,,,,9869.506010014904,,,2.138107861457564,64325,RUS,,,216,3
Karelia Republic,Russia,2022-05-27 14:31:54,62.6194031,33.4920267,135469,1509,,,,21762.64771464005,,,1.113907978947213,64326,RUS,,,1477,14
Kemerovo Oblast,Russia,2022-05-27 14:31:54,54.5335781,87.342861,163985,2380,,,,6085.064364718686,,,1.45135225782846,64327,RUS,,,2549,70
Khabarovsk Krai,Russia,2022-05-27 14:31:54,51.6312684,136.121524,202212,1552,,,,15223.34529346489,,,0.767511324748284,64328,RUS,,,1875,17
Khakassia Republic,Russia,2022-05-27 14:31:54,53.72258845,91.44293627,87807,2410,,,,16335.790948311947,,,2.7446558930381406,64329,RUS,,,411,2
Khanty-Mansi Autonomous Okrug,Russia,2022-05-27 14:31:54,61.0259025,69.0982628,210546,2546,,,,13741.03193814558,,,1.2092369363464517,64330,RUS,,,1218,7
Kirov Oblast,Russia,2022-05-27 14:31:54,57.9665589,49.4074599,151705,1045,,,,11822.047040377543,,,0.6888368873801127,64331,RUS,,,949,21
Komi Republic,Russia,2022-05-27 14:31:54,63.9881421,54.3326073,171807,3180,,,,20431.979621179416,,,1.8509141071085575,64332,RUS,,,1073,44
Kostroma Oblast,Russia,2022-05-27 14:31:54,58.424756,44.2533273,89016,1386,,,,13836.884680192252,,,1.557023456457266,64333,RUS,,,656,23
Krasnodar Krai,Russia,2022-05-27 14:31:54,45.7684014,39.0261044,260808,10918,,,,4654.443179344044,,,4.18622128155578,64334,RUS,,,2854,70
Krasnoyarsk Krai,Russia,2022-05-27 14:31:54,63.3233807,97.0979974,365561,10827,,,,12708.547931737805,,,2.9617492019115823,64335,RUS,,,1678,55
Kurgan Oblast,Russia,2022-05-27 14:31:54,55.7655302,64.5632681,104480,1434,,,,12356.644357372888,,,1.372511485451761,64336,RUS,,,786,18
Kursk Oblast,Russia,2022-05-27 14:31:54,51.6568453,36.4852695,118157,2480,,,,10594.788372337,,,2.098902307946207,64337,RUS,,,1289,28
Leningrad Oblast,Russia,2022-05-27 14:31:54,60.1853296,32.3925325,187544,3481,,,,10339.74780242318,,,1.8560977690568612,64338,RUS,,,1959,10
Lipetsk Oblast,Russia,2022-05-27 14:31:54,52.6935178,39.1122664,151194,3760,,,,13145.00682924115,,,2.4868711721364605,64339,RUS,,,1905,59
Magadan Oblast,Russia,2022-05-27 14:31:54,62.48858785,153.9903764,19800,390,,,,13741.316251535489,,,1.9696969696969695,64340,RUS,,,44,1
Mari El Republic,Russia,2022-05-27 14:31:54,56.5767504,47.8817512,44608,1087,,,,6537.570365202914,,,2.4367826398852226,64341,RUS,,,130,1
Mordovia Republic,Russia,2022-05-27 14:31:54,54.4419829,44.4661144,68061,1387,,,,8454.19449081803,,,2.037877786103642,64342,RUS,,,1003,13
Moscow,Russia,2022-05-27 14:31:54,55.7504461,37.6174943,2769634,43684,,,,22145.61297402272,,,1.5772481129275564,64343,RUS,,,9672,464
Moscow Oblast,Russia,2022-05-27 14:31:54,55.5043158,38.0353929,974973,15080,,,,12993.77547600183,,,1.5467094986220131,64344,RUS,,,5121,50
Murmansk Oblast,Russia,2022-05-27 14:31:54,68.0000418,33.9999151,134574,3323,,,,17858.503072760257,,,2.4692734109114687,64345,RUS,,,355,13
Nenets Autonomous Okrug,Russia,2022-05-27 14:31:54,68.27557185,57.1686375,7363,100,,,,16735.231947632794,,,1.3581420616596496,64346,RUS,,,41,0
Nizhny Novgorod Oblast,Russia,2022-05-27 14:31:54,55.4718033,44.0911594,420712,11515,,,,13006.004788002296,,,2.7370267546445075,64347,RUS,,,3783,66
North Ossetia - Alania Republic,Russia,2022-05-27 14:31:54,42.7933611,44.6324493,40836,1252,,,,5819.041986989947,,,3.065922225487315,64348,RUS,,,135,0
Novgorod Oblast,Russia,2022-05-27 14:31:54,58.2843833,32.5169757,99734,1032,,,,16444.838707549847,,,1.034752441494375,64349,RUS,,,791,14
Novosibirsk Oblast,Russia,2022-05-27 14:31:54,54.9720169,79.4813924,258319,5659,,,,9262.566743484498,,,2.19070219379914,64350,RUS,,,2290,40
Omsk Oblast,Russia,2022-05-27 14:31:54,56.0935263,73.5099936,207420,4384,,,,10582.215734961974,,,2.113585960852377,64351,RUS,,,1312,53
Orel Oblast,Russia,2022-05-27 14:31:54,52.9685433,36.0692477,112842,1921,,,,15101.030850575513,,,1.7023803193846263,64352,RUS,,,1374,23
Orenburg Oblast,Russia,2022-05-27 14:31:54,52.0269262,54.7276647,216387,4003,,,,10941.235361931922,,,1.8499262894721031,64353,RUS,,,1394,42
Penza Oblast,Russia,2022-05-27 14:31:54,53.1655415,44.7879181,186641,5893,,,,14015.7172841314,,,3.1573984279981357,64354,RUS,,,2224,105
Perm Krai,Russia,2022-05-27 14:31:54,58.5951603,56.3159546,369663,8796,,,,14092.482164382747,,,2.379464539323654,64355,RUS,,,3121,37
Primorsky Krai,Russia,2022-05-27 14:31:54,45.0819456,134.726645,175036,1964,,,,9149.640074917526,,,1.1220548915651638,64356,RUS,,,1185,20
Pskov Oblast,Russia,2022-05-27 14:31:54,57.5358729,28.8586826,110511,1843,,,,17361.03910793564,,,1.667707287057397,64357,RUS,,,1093,25
Rostov Oblast,Russia,2022-05-27 14:31:54,47.6222451,40.7957942,376112,10926,,,,8911.652116882267,,,2.904985748925852,64358,RUS,,,3376,55
Ryazan Oblast,Russia,2022-05-27 14:31:54,54.4226732,40.5705246,121054,3381,,,,10794.186936121569,,,2.7929684273134305,64359,RUS,,,1711,22
Saint Petersburg,Russia,2022-05-27 14:31:54,59.9606739,30.1586551,1528469,33794,,,,28559.18466872262,,,2.210970585599054,64360,RUS,,,9783,332
Sakha (Yakutiya) Republic,Russia,2022-05-27 14:31:54,66.941626,129.642371,180071,2114,,,,18673.1720469134,,,1.1739813740135836,64361,RUS,,,1960,5
Sakhalin Oblast,Russia,2022-05-27 14:31:54,49.7219665,143.448533,64806,826,,,,13220.830672751494,,,1.2745733419745084,64362,RUS,,,195,0
Samara Oblast,Russia,2022-05-27 14:31:54,53.2128813,50.8914633,383867,7862,,,,12020.207207483669,,,2.0481052031042,64363,RUS,,,2254,66
Saratov Oblast,Russia,2022-05-27 14:31:54,51.6520555,46.8631952,252017,5961,,,,10232.323027264054,,,2.3653166254657423,64364,RUS,,,3246,19
Smolensk Oblast,Russia,2022-05-27 14:31:54,55.0343496,33.0192065,131128,3052,,,,13812.42705519999,,,2.327496797022756,64365,RUS,,,1151,23
Stavropol Krai,Russia,2022-05-27 14:31:54,44.8632577,43.4406913,197604,7064,,,,7055.587333620407,,,3.574826420517803,64366,RUS,,,1530,47
Sverdlovsk Oblast,Russia,2022-05-27 14:31:54,58.6414755,61.8021546,444099,10745,,,,10267.57722548677,,,2.419505560697052,64367,RUS,,,4474,34
Tambov Oblast,Russia,2022-05-27 14:31:54,52.9019574,41.3578918,116774,2410,,,,11298.318807374955,,,2.063815575384932,64368,RUS,,,1475,25
Tatarstan Republic,Russia,2022-05-27 14:31:54,55.7648572,52.43104273,149579,1995,,,,3840.988484661109,,,1.333743373067075,64369,RUS,,,5249,23
Tomsk Oblast,Russia,2022-05-27 14:31:54,58.6124279,82.0475315,131386,839,,,,12184.775753978558,,,0.6385764084453442,64370,RUS,,,1652,15
Tula Oblast,Russia,2022-05-27 14:31:54,53.9570701,37.3690909,156573,5197,,,,10495.188875594478,,,3.319218511493041,64371,RUS,,,2200,37
Tver Oblast,Russia,2022-05-27 14:31:54,57.1134475,35.1744428,162452,2740,,,,12653.276453356368,,,1.6866520572230566,64372,RUS,,,1655,20
Tyumen Oblast,Russia,2022-05-27 14:31:54,58.8206488,70.3658837,191656,4326,,,,5190.553569494096,,,2.257169094627875,64373,RUS,,,1173,33
Tyva Republic,Russia,2022-05-27 14:31:54,51.4017149,93.8582593,44474,351,,,,13823.736020539473,,,0.7892251652650987,64374,RUS,,,56,0
Udmurt Republic,Russia,2022-05-27 14:31:54,57.1961165,52.6959832,166798,3839,,,,11024.001945746457,,,2.3015863499562346,64375,RUS,,,1059,23
Ulyanovsk Oblast,Russia,2022-05-27 14:31:54,54.1463177,47.2324921,202814,4684,,,,16269.137779175337,,,2.309505260978039,64376,RUS,,,1204,47
Vladimir Oblast,Russia,2022-05-27 14:31:54,56.0503336,40.6561633,151622,3461,,,,11000.357677404005,,,2.282650275026052,64377,RUS,,,1125,27
Volgograd Oblast,Russia,2022-05-27 14:31:54,49.6048339,44.2903582,220940,6879,,,,8763.023167634166,,,3.113514981442925,64378,RUS,,,4671,40
Vologda Oblast,Russia,2022-05-27 14:31:54,60.0391461,43.1215213,190928,3843,,,,16225.867667667497,,,2.0128006368892986,64379,RUS,,,1869,65
Voronezh Oblast,Russia,2022-05-27 14:31:54,50.9800393,40.1506507,384493,8297,,,,16475.202333736688,,,2.157906645894724,64380,RUS,,,4443,74
Yamalo-Nenets Autonomous Okrug,Russia,2022-05-27 14:31:54,67.1471631,74.3415488,137005,1041,,,,25439.74806284317,,,0.7598262837122732,64381,RUS,,,445,1
Yaroslavl Oblast,Russia,2022-05-27 14:31:54,57.7781976,39.0021095,161354,2805,,,,12748.363730599423,,,1.7384136742813936,64382,RUS,,,2139,49
Zabaykalsky Krai,Russia,2022-05-27 14:31:54,52.248521,115.956325,168751,2342,,,,15729.871011161384,,,1.387843627593318,64383,RUS,,,752,7
Andalusia,Spain,2022-05-27 14:31:54,37.5443,-4.7278,1491571,13628,,,,17699.054453891797,,,0.9136675357726852,72401,ESP,,,56008,217
Aragon,Spain,2022-05-27 14:31:54,41.5976,-0.9057,427191,4775,,,,32348.593730359094,,,1.1177669941548394,72402,ESP,,,12331,86
Asturias,Spain,2022-05-27 14:31:54,43.3614,-5.8593,231149,2820,,,,22612.7831501509,,,1.2199922993393872,72403,ESP,,,13268,132
Baleares,Spain,2022-05-27 14:31:54,39.710358,2.995148,287734,1401,,,,24215.54930905051,,,0.4869080470156464,72404,ESP,,,6912,88
C. Valenciana,Spain,2022-05-27 14:31:54,39.484,-0.7533,1431535,9366,,,,28774.752164284844,,,0.6542627319625437,72411,ESP,,,45049,128
Canarias,Spain,2022-05-27 14:31:54,28.2916,-16.6291,369877,1751,,,,16760.01778058916,,,0.4734006169618548,72405,ESP,,,19375,48
Cantabria,Spain,2022-05-27 14:31:54,43.1828,-3.9878,142151,852,,,,24439.645760873114,,,0.5993626495768584,72406,ESP,,,7610,46
Castilla - La Mancha,Spain,2022-05-27 14:31:54,39.2796,-3.0977,526411,7313,,,,25869.426014447065,,,1.3892186903389176,72407,ESP,,,26059,117
Castilla y Leon,Spain,2022-05-27 14:31:54,41.8357,-4.3976,747649,8640,,,,31051.989568610807,,,1.155622491302737,72408,ESP,,,37286,168
Catalonia,Spain,2022-05-27 14:31:54,41.5912,1.5209,2457497,19203,,,,32478.94548962384,,,0.7814048196193119,72409,ESP,,,60033,237
Ceuta,Spain,2022-05-27 14:31:54,35.8894,-5.3213,21809,152,,,,25709.368258496503,,,0.696959970654317,72410,ESP,,,1396,4
Extremadura,Spain,2022-05-27 14:31:54,39.4937,-6.0679,273640,2383,,,,25683.671477271026,,,0.8708522145885105,72412,ESP,,,13668,66
Galicia,Spain,2022-05-27 14:31:54,42.5751,-8.1339,651474,3467,,,,24124.7262947052,,,0.5321777998814995,72413,ESP,,,36950,153
La Rioja,Spain,2022-05-27 14:31:54,42.2871,-2.5396,99469,922,,,,31721.364539450395,,,0.9269219555841518,72419,ESP,,,4134,2
Madrid,Spain,2022-05-27 14:31:54,40.4168,-3.7038,1720048,18721,,,,25897.90577611072,,,1.088399858608597,72414,ESP,,,58144,223
Melilla,Spain,2022-05-27 14:31:54,35.2923,-2.9381,21753,154,,,,25685.74431153987,,,0.7079483289661196,72415,ESP,,,785,0
Murcia,Spain,2022-05-27 14:31:54,37.9922,-1.1307,427577,2317,,,,28741.522777672093,,,0.5418907003884681,72416,ESP,,,20785,74
Navarra,Spain,2022-05-27 14:31:54,42.6954,-1.6761,240971,1563,,,,37075.54166038409,,,0.6486257682459715,72417,ESP,,,2078,29
Pais Vasco,Spain,2022-05-27 14:31:54,42.9896,-2.6189,710839,6677,,,,32639.034290227195,,,0.9393125588213364,72418,ESP,,,25017,60
Unknown,Spain,2022-05-27 14:31:54,,,0,0,,,,,,,,72420,ESP,,,0,0
Blekinge,Sweden,2022-05-27 14:31:54,56.2784,15.018,29674,166,,,,18592.032880969386,,,0.5594122801105345,75201,SWE,,,69,3
Dalarna,Sweden,2022-05-27 14:31:54,61.0917,14.6664,69954,481,,,,24292.45119215463,,,0.6875947050919176,75202,SWE,,,341,7
Gavleborg,Sweden,2022-05-27 14:31:54,61.3012,16.1534,73805,706,,,,25681.845070324514,,,0.9565747578077366,75203,SWE,,,102,12
Gotland,Sweden,2022-05-27 14:31:54,57.4684,18.4867,11445,71,,,,19175.35100358543,,,0.6203582350371342,75204,SWE,,,28,1
Halland,Sweden,2022-05-27 14:31:54,56.8967,12.8034,104876,453,,,,31414.29632647193,,,0.4319386704298409,75205,SWE,,,256,8
Jamtland Harjedalen,Sweden,2022-05-27 14:31:54,63.1712,14.9592,32847,176,,,,25110.465560736942,,,0.5358175784698754,75206,SWE,,,115,8
Jonkoping,Sweden,2022-05-27 14:31:54,57.3708,14.3439,86434,689,,,,23771.792551684684,,,0.7971400143462064,75207,SWE,,,144,6
Kalmar,Sweden,2022-05-27 14:31:54,57.235,16.1849,60183,354,,,,24519.853654164257,,,0.5882059717860525,75208,SWE,,,129,1
Kronoberg,Sweden,2022-05-27 14:31:54,56.7183,14.4115,49514,385,,,,24576.485712442118,,,0.7775578624227492,75209,SWE,,,99,4
Norrbotten,Sweden,2022-05-27 14:31:54,66.8309,20.3992,48921,408,,,,19561.12326214648,,,0.8339976697123934,75210,SWE,,,165,5
Orebro,Sweden,2022-05-27 14:31:54,59.535,15.0066,93017,473,,,,30516.88784632798,,,0.5085091972435146,75211,SWE,,,402,12
Ostergotland,Sweden,2022-05-27 14:31:54,58.3454,15.5198,95093,821,,,,20428.361206887294,,,0.8633653370910582,75212,SWE,,,226,8
Skane,Sweden,2022-05-27 14:31:54,55.9903,13.5958,338209,2398,,,,24546.55047404355,,,0.7090290323439057,75213,SWE,,,552,23
Sormland,Sweden,2022-05-27 14:31:54,59.0336,16.7519,63918,588,,,,21482.1536600121,,,0.9199286585938232,75214,SWE,,,269,5
Stockholm,Sweden,2022-05-27 14:31:54,59.6025,18.1384,574014,5262,,,,24147.85192427183,,,0.916702380081322,75215,SWE,,,2157,36
